totalClassCount,coveredClassCount,totalMethodCount,coveredMethodCount,totalLineCount,coveredLineCount,totalBranchCount,coveredBranchCount,testedClass,testName
1,1,6,3,17,6,14,3,nl.tudelft.jpacman.level.PlayerCollisions,PlayerColl.collisionbetweenghostandpacman
1,1,6,3,17,6,14,3,nl.tudelft.jpacman.level.PlayerCollisions,PlayerColl.collisionbetweenghostandpacman
1,1,6,3,17,6,14,3,nl.tudelft.jpacman.level.PlayerCollisions,PlayerColl.collisionbetweenghostandpacman
1,1,6,3,17,6,14,3,nl.tudelft.jpacman.level.PlayerCollisions,PlayerColl.collisionbetweenghostandpacman
1,1,6,6,17,17,14,13,nl.tudelft.jpacman.level.PlayerCollisions,PlayerColl
